,Unnamed: 0,storeNumber,latitude,longitude,postalCode
312,3595,20444-195007,33.641706,-112.011234,85032
313,4215,79552-96791,35.225832,-111.578577,860042846
314,4216,56066-289533,35.223609,-111.583615,86004
315,4217,79536-101003,35.219759,-111.621974,860041641
316,4218,5988-211704,35.195647,-111.628074,860043745
317,4219,23523-230691,35.195181,-111.635145,86001
318,4220,70023-117805,35.18927,-111.655864,86011573
319,4221,74227-59039,35.189766,-111.663065,860016318
320,4222,9624-96090,35.1874,-111.661842,860016346
321,4223,17806-185724,35.179459,-111.656019,86001
322,4224,76430-97574,35.184341,-111.661426,860010802
323,4225,25697-103428,35.17656,-111.667288,860017114
324,4226,25699-103429,34.86608,-111.794744,863364505
325,4227,24425-237910,34.863489,-111.793011,863365557
326,4228,74434-90567,34.864681,-111.800287,86336
327,4229,79522-101000,35.24876,-112.19318,860462334
328,4230,74411-82504,34.727417,-112.007739,863264604
329,4231,57282-290568,34.721542,-112.00287,86326
330,4232,8105-95016,34.575523,-111.881989,863225200
331,4233,73896-103689,34.566764,-111.864542,86322
332,4284,74916-100980,33.96097,-112.770814,853902205
333,4285,74864-97730,33.637516,-112.425319,853742976
334,4286,58303-291866,33.63838,-112.423101,85374
335,4287,3199-106038,33.622622,-112.425046,853889607
336,4288,73762-106026,33.640271,-112.395328,853743436
337,4289,52950-281088,33.65608,-112.376102,85375
338,4290,11326-103704,33.655788,-112.374097,853748688
339,4291,22414-217349,33.66113,-112.353611,85375
340,4292,11219-281927,33.638111,-112.369534,853742457
341,4293,79551-101012,33.655026,-112.350031,853754439
342,4294,73838-113969,33.608244,-112.392005,853795132
343,4295,76731-97576,33.70969,-112.276015,853831348
344,4296,11433-104335,33.707654,-112.273234,853831359
345,4297,49342-266924,33.714339,-112.267946,85383
346,4298,79707-101342,33.7233,-112.261,853832087
347,4299,22018-214825,33.611304,-112.36151,85379
348,4300,74733-97179,33.610561,-112.357462,853793802
349,4301,72590-102066,33.66846,-112.278244,853829703
350,4302,79767-136609,33.638766,-112.292002,85373
351,4303,10094-99046,33.637847,-112.276692,853511282
352,4304,16389-164466,33.680525,-112.239616,853822460
353,4305,63859-275564,33.496189,-112.481628,85396
354,4306,73125-21397,33.683056,-112.236348,853822125
355,4307,47594-256931,33.711715,-112.205698,853834209
356,4308,50214-271891,33.866236,-112.137716,850860430
357,4309,6581-67540,33.866674,-112.136896,850860416
